municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 18:00:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 18:50:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 19:50:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 21:20:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 22:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-03 23:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 01:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 02:10:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 05:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 07:30:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 08:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 11:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 12:20:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 18:10:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 22:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-04 23:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 01:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 02:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 02:20:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 05:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 08:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 11:00:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 17:50:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 18:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 22:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-05 23:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 01:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 02:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 02:40:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 05:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 08:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 11:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 12:20:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 18:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 21:50:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 22:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-06 23:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 01:10:00.0;chuva;0.00;
